Application Server,Framework Applications,TCP,80,All
Application Server,Framework Applications,TCP,443,All
Application Server,Interaction Applications,TCP,80,All
Application Server,Interaction Applications,TCP,443,All
Mobile Gateway Server,Mobile Gateway,TCP,80,All
Mobile Gateway Server,Mobile Gateway,TCP,443,All
Application Load Balancer,Application Load Balancer,TCP,80,All
Application Load Balancer,Application Load Balancer,TCP,443,All
Application Server,Framework Applications,TCP,7001,All
Application Server,Framework Applications,TCP,7,All
Application Server,Framework Applications,TCP,8088,All
Application Server,Framework Applications,UDP,8088-8089,All
Application Server,Interaction Applications,TCP,50000,All
Application Server,Interaction Applications,TCP,135,All
Application Server,Interaction Applications,TCP,29180-29279,All
Application Server,System,TCP,80,All
Application Server,System,TCP,443,All
Centralized Archive Server,Content Server,TCP,80,All
Centralized Archive Server,Content Server,TCP,443,All
Centralized Archive Server,System,TCP,80,All
Centralized Archive Server,System,TCP,443,All
Contact & QM Database Server,Contact Database,TCP,80,All
Contact & QM Database Server,Contact Database,TCP,443,All
Contact & QM Database Server,Interaction Flow Manager,TCP,80,All
Contact & QM Database Server,Interaction Flow Manager,TCP,443,All
Contact & QM Database Server,QM Database,TCP,80,All
Contact & QM Database Server,QM Database,TCP,443,All
Contact & QM Database Server,QM Database,TCP,50000,All
Contact & QM Database Server,QM Database,TCP,135,All
Contact & QM Database Server,QM Database,TCP,29180-29279,All
Contact & QM Database Server,SQL Server,TCP,1433,All
Contact & QM Database Server,System,TCP,80,All
Contact & QM Database Server,System,TCP,443,All
Contact OLTP & Archive Database Server,SQL Server,TCP,1433,All
Contact OLTP & Archive Database Server,System,TCP,80,All
Contact OLTP & Archive Database Server,System,TCP,443,All
Data Warehouse Server,Framework Data Warehouse,TCP,80,All
Data Warehouse Server,Framework Data Warehouse,TCP,443,All
Data Warehouse Server,SQL Server,TCP,1433,All
Data Warehouse Server,System,TCP,80,All
Data Warehouse Server,System,TCP,443,All
Database Management Server,Contact Database,TCP,80,All
Database Management Server,Contact Database,TCP,443,All
Database Management Server,Framework Data Warehouse,TCP,80,All
Database Management Server,Framework Data Warehouse,TCP,443,All
Database Management Server,Framework Database,TCP,80,All
Database Management Server,Framework Database,TCP,443,All
Database Management Server,Framework Integration Service,TCP,80,All
Database Management Server,Framework Integration Service,TCP,443,All
Database Management Server,Interaction Flow Manager,TCP,80,All
Database Management Server,Interaction Flow Manager,TCP,443,All
Database Management Server,QM Database,TCP,80,All
Database Management Server,QM Database,TCP,443,All
Database Management Server,QM Database,TCP,50000,All
Database Management Server,QM Database,TCP,135,All
Database Management Server,QM Database,TCP,29180-29279,All
Database Management Server,Reporting Services,TCP,80,All
Database Management Server,Reporting Services,TCP,443,All
Database Management Server,System,TCP,80,All
Database Management Server,System,TCP,443,All
Database Server,Contact Database,TCP,80,All
Database Server,Contact Database,TCP,443,All
Database Server,Framework Data Warehouse,TCP,80,All
Database Server,Framework Data Warehouse,TCP,443,All
Database Server,Framework Database,TCP,80,All
Database Server,Framework Database,TCP,443,All
Database Server,Framework Integration Service,TCP,80,All
Database Server,Framework Integration Service,TCP,443,All
Database Server,Interaction Analytics Services,TCP,80,All
Database Server,Interaction Analytics Services,TCP,443,All
Database Server,Interaction Flow Manager,TCP,80,All
Database Server,Interaction Flow Manager,TCP,443,All
Database Server,QM Database,TCP,80,All
Database Server,QM Database,TCP,443,All
Database Server,QM Database,TCP,50000,All
Database Server,QM Database,TCP,135,All
Database Server,QM Database,TCP,29180-29279,All
Database Server,Reporting Services,TCP,80,All
Database Server,Reporting Services,TCP,443,All
Database Server,Speech Products Database,TCP,80,All
Database Server,Speech Products Database,TCP,443,All
Database Server,SQL Server,TCP,1433,All
Database Server,System,TCP,80,All
Database Server,System,TCP,443,All
EFM Application Server,EFM Application Role,TCP,80,All
EFM Application Server,EFM Application Role,TCP,443,All
EFM Database Server,EFM Application Role,TCP,80,All
EFM Database Server,EFM Application Role,TCP,443,All
Encryption Key Management Server,Encryption Key Management ,TCP,7443,All
Export Manager,System,TCP,80,All
Export Manager,System,TCP,443,All
Forecasting and Scheduling Server,Forecasting and Scheduling Service,TCP,80,All
Forecasting and Scheduling Server,Forecasting and Scheduling Service,TCP,443,All
Forecasting and Scheduling Server,Forecasting and Scheduling Service,TCP,15667-15700,All
Forecasting and Scheduling Server,Forecasting and Scheduling Service,TCP,45731,All
Forecasting and Scheduling Server,Framework Integration Service,TCP,80,All
Forecasting and Scheduling Server,Framework Integration Service,TCP,443,All
Forecasting and Scheduling Server,System,TCP,80,All
Forecasting and Scheduling Server,System,TCP,443,All
Framework Database & Reporting Server,Framework Data Warehouse,TCP,80,All
Framework Database & Reporting Server,Framework Data Warehouse,TCP,443,All
Framework Database & Reporting Server,Framework Database,TCP,80,All
Framework Database & Reporting Server,Framework Database,TCP,443,All
Framework Database & Reporting Server,Framework Integration Service,TCP,80,All
Framework Database & Reporting Server,Framework Integration Service,TCP,443,All
Framework Database & Reporting Server,Reporting Services,TCP,80,All
Framework Database & Reporting Server,Reporting Services,TCP,443,All
Framework Database & Reporting Server,SQL Server,TCP,1433,All
Framework Database & Reporting Server,System,TCP,80,All
Framework Database & Reporting Server,System,TCP,443,All
Framework DB Server,Framework Database,TCP,80,All
Framework DB Server,Framework Database,TCP,443,All
Framework DB Server,Framework Integration Service,TCP,80,All
Framework DB Server,Framework Integration Service,TCP,443,All
Framework DB Server,SQL Server,TCP,1433,All
Framework DB Server,System,TCP,80,All
Framework DB Server,System,TCP,443,All
Framework Integration Service Server,Framework Integration Service,TCP,80,All
Framework Integration Service Server,Framework Integration Service,TCP,443,All
Framework Integration Service Server,System,TCP,80,All
Framework Integration Service Server,System,TCP,443,All
Import Manager Server,Content Server,TCP,80,All
Import Manager Server,Content Server,TCP,443,All
Import Manager Server,System,TCP,80,All
Import Manager Server,System,TCP,443,All
Import Manager With Transcription Server,Content Server,TCP,80,All
Import Manager With Transcription Server,Content Server,TCP,443,All
Import Manager With Transcription Server,System,TCP,80,All
Import Manager With Transcription Server,System,TCP,443,All
IP Analyzer Server,System,TCP,80,All
IP Analyzer Server,System,TCP,443,All
